0,,Toxicroak,Toxicroak,Toxicroak,Umbreon,Azumarill,Azumarill,Alolan muk,Grimer,Grimer,Skuntank,Skuntank,Skuntank,Drapion,Drapion,Tentacruel,Tentacruel,Alolan raticate,Alolan raticate,Venomoth,Venomoth,Golbat,Crobat,Alolan ninetales,Alolan ninetales,Nidoqueen,Sneasel,Alolan marowak,Sableye,Mawile,Dusclops,Venusaur,Venusaur,Dustox,Froslass,Tyranitar,Swalot,Qwilfish,Qwilfish
,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Toxicroak,Toxicroak.counter.sludge bomb.mud bomb.1500,0,0.291338583,0.362204724,0.519685039,0.126497775,0.606299213,0.448818898,0.404199475,-0.081447889,0.509186352,0.532808399,0.509186352,0.669291339,0.419947507,0.184260171,0.184260171,0.645669291,0.68503937,-0.804232804,-0.80952381,-0.604010025,-0.6167979,0.10616051,-0.134946546,0.25804165,0.653543307,-0.046630954,-0.188034188,0.5,-0.427184466,-0.037926509,-0.029790026,-0.72761194,-0.34375,0.716535433,0.543307087,-0.039923212,-0.039923212
Toxicroak,Toxicroak.poison jab.sludge bomb.mud bomb.1500,-0.291338583,0,0.362204724,0.056958789,0.422572178,0.648293963,0.209973753,0.393700787,-0.127861391,0.173637386,0.154855643,0.173637386,0.511811024,0.186351706,0.110994915,0.110994915,0.137786225,0.150239841,-0.804232804,-0.80952381,-0.513784461,-0.532808399,0.167808292,-0.070247317,-0.037473418,-0.220183486,-0.046630954,-0.311965812,0.275590551,-0.27184466,0.068569554,0.0957021,-0.72761194,-0.4375,0.023092702,0.25984252,-0.260330579,-0.260330579
Toxicroak,Toxicroak.counter.dynamic punch.sludge bomb.1500,-0.362204724,-0.362204724,0,0.69816273,0.126497775,0.606299213,0.572178478,-0.139855145,-0.434599156,0.469816273,0.233595801,0.469816273,0.527559055,0.356955381,0.084789206,0.084789206,0.645669291,0.68503937,-0.756613757,-0.80952381,-0.604010025,-0.6167979,0.10616051,-0.134946546,0.145621396,0.653543307,-0.62295082,-0.166666667,0.476377953,-0.529126214,-0.037926509,-0.029790026,-0.820895522,-0.50390625,0.716535433,-0.027630637,-0.078512397,-0.078512397
Umbreon,Umbreon.snarl.foul play.last resort.1500,-0.519685039,-0.056958789,-0.69816273,0,-0.333333333,-0.22826087,-0.085863562,0.387445887,0.487012987,-0.205627706,-0.205627706,-0.222943723,-0.094993412,0.178147939,0.316017316,0.196969697,-0.018614719,-0.216091954,0.461038961,0.461038961,0.413419913,0.296536797,-0.18699187,-0.154471545,0.20995671,-0.149608801,0.587662338,0.548701299,0.076595144,0.62012987,-0.041504329,-0.329166667,0.321428571,0.37987013,-0.159663866,0.175324675,0.266233766,0.266233766
Azumarill,Azumarill.bubble.ice beam.play rough.1500,-0.126497775,-0.422572178,-0.126497775,0.333333333,0,0.418478261,-0.120989505,0.179370758,0.407608696,-0.316017316,-0.316017316,-0.127305665,0.130797101,0.487318841,-0.4140625,-0.536458333,0.375,0.182971014,-0.05926501,0.309782609,0.233695652,0.385869565,0.480072464,0.324275362,0.411231884,0.425724638,0.015992516,0.235205314,0.402173913,0.494565217,-0.35,-0.3875,0.110399091,0.12720788,0.426630435,0.086857708,0.00687208,0.255434783
Azumarill,Azumarill.rock smash.ice beam.play rough.1500,-0.606299213,-0.648293963,-0.606299213,0.22826087,-0.418478261,0,-0.429885057,-0.605485232,-0.303797468,-0.465367965,-0.465367965,-0.257575758,-0.144927536,0.313405797,-0.552083333,-0.697916667,0.47826087,0.469202899,-0.53968254,-0.452380952,-0.581453634,-0.540682415,-0.012474962,0.011856369,-0.625304136,0.746376812,-0.594262295,-0.065751579,0.263586957,0.073554242,-0.6625,-0.683333333,-0.611940299,-0.52734375,0.399456522,-0.557575758,-0.479338843,-0.123966942
Alolan muk,Alolan muk.poison jab.gunk shot.dark pulse.1500,-0.448818898,-0.209973753,-0.572178478,0.085863562,0.120989505,0.429885057,0,0.043183472,-0.312236287,-0.030586655,-0.029362591,-0.030586655,-0.04027986,-0.044377811,0.054759339,0.054759339,0.413793103,-0.055172414,0.347126437,0.347126437,0.009471956,0.190804598,0.252873563,0.252873563,-0.248175182,-0.161130444,0.264217072,0.272413793,0.231034483,0.372413793,0.255172414,0.114511494,0.227586207,-0.100592672,-0.390756303,-0.218181818,-0.081134226,-0.081134226
Grimer,Grimer.poison jab.sludge bomb.mud bomb.1300,-0.404199475,-0.393700787,0.139855145,-0.387445887,-0.179370758,0.605485232,-0.043183472,0,-0.246835443,0.072908105,0.087456847,0.087456847,0.164556962,-0.31884058,0.063258175,0.063258175,-0.285057471,-0.285057471,-0.624338624,-0.634920635,-0.315789474,-0.388451444,0.124815615,0.08898494,-0.185207429,-0.330275229,-0.225409836,-0.299145299,-0.178178316,-0.330097087,0.050263713,-0.000105485,-0.578358209,-0.40625,-0.399159664,0.004909858,-0.231404959,-0.231404959
Grimer,Grimer.mud slap.mud bomb.sludge bomb.1300,0.081447889,0.127861391,0.434599156,-0.487012987,-0.407608696,0.303797468,0.312236287,0.246835443,0,0.367088608,0.114225437,0.114225437,0.390295359,0.075454045,0.217827004,0.217827004,-0.404597701,-0.404597701,-0.481481481,-0.5,-0.621553885,-0.414698163,-0.471544715,-0.301413331,0.277356863,-0.373088685,0.105675451,-0.273504274,0.21796918,-0.27184466,-0.1625,-0.241666667,-0.48880597,-0.296875,0.12057228,0.430379747,0.243670886,0.243670886
